,Kraj,Sprzedawca,Data zamowienia,idZamowienia,Utarg,One
257,Niemcy,Leverling,2004-04-21,10505,147.9,1
258,Polska,Dudek,2004-05-02,10506,415.8,1
259,Polska,King,2004-04-22,10507,749.06,1
260,Niemcy,Davolio,2004-05-13,10508,240.0,1
261,Niemcy,Peacock,2004-04-29,10509,136.8,1
262,Polska,Sowiński,2004-04-28,10510,4707.54,1
263,Niemcy,Peacock,2004-04-21,10511,2550.0,1
264,Polska,King,2004-04-24,10512,525.3,1
265,Polska,King,2004-04-28,10513,1942.0,1
266,Niemcy,Leverling,2004-05-16,10514,8623.45,1
267,Niemcy,Fuller,2004-05-23,10515,9921.3,1
268,Niemcy,Fuller,2004-05-01,10516,2381.05,1
269,Niemcy,Leverling,2004-04-29,10517,352.0,1
270,Niemcy,Peacock,2004-05-05,10518,4150.05,1
271,Polska,Sowiński,2004-05-01,10519,2314.2,1
272,Polska,King,2004-05-01,10520,200.0,1
273,Niemcy,Callahan,2004-05-02,10521,225.5,1
274,Niemcy,Peacock,2004-05-06,10522,2318.24,1
275,Polska,King,2004-05-30,10523,2444.31,1
276,Niemcy,Davolio,2004-05-07,10524,3192.65,1
277,Niemcy,Davolio,2004-05-23,10525,818.4,1
278,Niemcy,Peacock,2004-05-15,10526,1151.4,1
279,Polska,King,2004-05-07,10527,1503.0,1
280,Polska,Sowiński,2004-05-09,10528,392.2,1
281,Polska,Kowalski,2004-05-09,10529,946.0,1
282,Niemcy,Leverling,2004-05-12,10530,4180.0,1
283,Polska,King,2004-05-19,10531,110.0,1
284,Polska,King,2004-05-12,10532,796.35,1
285,Niemcy,Callahan,2004-05-22,10533,2222.2,1
286,Niemcy,Callahan,2004-05-14,10534,465.7,1
287,Niemcy,Peacock,2004-05-21,10535,1940.85,1
288,Niemcy,Leverling,2004-06-06,10536,1645.0,1
289,Niemcy,Davolio,2004-05-19,10537,1823.8,1
290,Polska,Dudek,2004-05-16,10538,139.8,1
291,Polska,Sowiński,2004-05-23,10539,355.5,1
292,Niemcy,Leverling,2004-06-13,10540,10191.7,1
293,Niemcy,Fuller,2004-05-29,10541,1946.52,1
294,Niemcy,Davolio,2004-05-26,10542,469.11,1
295,Niemcy,Callahan,2004-05-23,10543,1504.5,1
296,Niemcy,Peacock,2004-05-30,10544,417.2,1
297,Niemcy,Callahan,2004-06-26,10545,210.0,1
298,Niemcy,Davolio,2004-05-27,10546,2812.0,1
299,Niemcy,Leverling,2004-06-02,10547,1792.8,1
300,Niemcy,Leverling,2004-06-02,10548,240.1,1
301,Polska,Kowalski,2004-05-30,10549,3554.27,1
302,Polska,King,2004-06-06,10550,683.3,1
303,Niemcy,Peacock,2004-06-06,10551,1677.3,1
304,Niemcy,Fuller,2004-06-05,10552,880.5,1
305,Niemcy,Fuller,2004-06-03,10553,1546.3,1
306,Niemcy,Peacock,2004-06-05,10554,1728.52,1
307,Polska,Sowiński,2004-06-04,10555,2944.4,1
308,Niemcy,Fuller,2004-06-13,10556,835.2,1
309,Polska,Dudek,2004-06-06,10557,1152.5,1
310,Niemcy,Davolio,2004-06-10,10558,2142.9,1
311,Polska,Sowiński,2004-06-13,10559,520.41,1
312,Niemcy,Callahan,2004-06-09,10560,1072.42,1
313,Niemcy,Fuller,2004-06-09,10561,2844.5,1
314,Niemcy,Davolio,2004-06-12,10562,488.7,1
315,Niemcy,Fuller,2004-06-24,10563,965.0,1
316,Niemcy,Peacock,2004-06-16,10564,1234.05,1
317,Niemcy,Callahan,2004-06-18,10565,639.9,1
318,Polska,Dudek,2004-06-18,10566,1761.0,1
319,Niemcy,Davolio,2004-06-17,10567,2519.0,1
320,Niemcy,Leverling,2004-07-09,10568,155.0,1
321,Polska,Kowalski,2004-07-11,10569,890.0,1
322,Niemcy,Leverling,2004-06-19,10570,2465.25,1
323,Niemcy,Callahan,2004-07-04,10571,550.59,1
324,Niemcy,Leverling,2004-06-25,10572,1501.08,1
325,Polska,King,2004-06-20,10573,2082.0,1
326,Niemcy,Peacock,2004-06-30,10574,764.3,1
327,Polska,Kowalski,2004-06-30,10575,2147.4,1
328,Niemcy,Leverling,2004-06-30,10576,838.45,1
329,Polska,Dudek,2004-06-30,10577,569.0,1
330,Niemcy,Peacock,2004-07-25,10578,477.0,1
331,Niemcy,Davolio,2004-07-04,10579,317.75,1
332,Niemcy,Peacock,2004-07-01,10580,1013.74,1
333,Niemcy,Leverling,2004-07-02,10581,310.0,1
334,Niemcy,Leverling,2004-07-14,10582,330.0,1
335,Niemcy,Fuller,2004-07-04,10583,2237.5,1
336,Niemcy,Peacock,2004-07-04,10584,593.75,1
337,Polska,King,2004-07-10,10585,142.5,1
338,Polska,Dudek,2004-07-09,10586,23.8,1
339,Niemcy,Davolio,2004-07-09,10587,807.38,1
340,Niemcy,Fuller,2004-07-10,10588,3120.0,1
341,Niemcy,Callahan,2004-07-14,10589,72.0,1
342,Niemcy,Peacock,2004-07-14,10590,1101.0,1
343,Niemcy,Davolio,2004-07-16,10591,812.5,1
344,Niemcy,Leverling,2004-07-16,10592,516.46,1
345,Polska,King,2004-08-13,10593,1994.4,1
346,Niemcy,Leverling,2004-07-16,10594,565.5,1
347,Niemcy,Fuller,2004-07-14,10595,4725.0,1
348,Niemcy,Callahan,2004-08-12,10596,1180.88,1
349,Polska,King,2004-07-18,10597,718.08,1
350,Niemcy,Davolio,2004-07-18,10598,2388.5,1
351,Polska,Sowiński,2004-07-21,10599,493.0,1
352,Niemcy,Peacock,2004-07-21,10600,479.8,1
353,Polska,King,2004-07-22,10601,2285.0,1
354,Niemcy,Callahan,2004-07-22,10602,48.75,1
355,Niemcy,Callahan,2004-08-08,10603,1483.0,1
356,Niemcy,Davolio,2004-07-29,10604,230.85,1
357,Niemcy,Davolio,2004-07-29,10605,4109.69,1
358,Niemcy,Peacock,2004-07-31,10606,1130.4,1
359,Polska,Kowalski,2004-07-25,10607,6475.4,1
360,Niemcy,Peacock,2004-08-01,10608,1064.0,1
361,Polska,King,2004-07-30,10609,424.0,1
362,Niemcy,Callahan,2004-08-06,10610,299.25,1
363,Polska,Sowiński,2004-08-01,10611,808.0,1
364,Niemcy,Davolio,2004-08-01,10612,6375.0,1
365,Niemcy,Peacock,2004-08-01,10613,353.2,1
366,Niemcy,Callahan,2004-08-01,10614,464.0,1
367,Niemcy,Fuller,2004-08-06,10615,120.0,1
368,Niemcy,Davolio,2004-08-05,10616,4806.99,1
369,Niemcy,Peacock,2004-08-04,10617,1402.5,1
370,Niemcy,Davolio,2004-08-08,10618,2697.5,1
371,Niemcy,Leverling,2004-08-07,10619,1260.0,1
372,Niemcy,Fuller,2004-08-14,10620,57.5,1
373,Niemcy,Peacock,2004-08-11,10621,758.5,1
374,Niemcy,Peacock,2004-08-11,10622,560.0,1
375,Niemcy,Callahan,2004-08-12,10623,1336.95,1
376,Niemcy,Peacock,2004-08-19,10624,1393.24,1
377,Niemcy,Leverling,2004-08-14,10625,479.75,1
378,Niemcy,Davolio,2004-08-20,10626,1503.6,1
379,Niemcy,Callahan,2004-08-21,10627,1185.75,1
380,Niemcy,Peacock,2004-08-20,10628,450.0,1
381,Niemcy,Peacock,2004-08-20,10629,2775.05,1
382,Niemcy,Davolio,2004-08-19,10630,903.6,1
383,Niemcy,Callahan,2004-08-15,10631,55.8,1
384,Niemcy,Callahan,2004-08-19,10632,589.0,1
385,Polska,King,2004-08-18,10633,5510.59,1
386,Niemcy,Peacock,2004-08-21,10634,4985.5,1
387,Niemcy,Callahan,2004-08-21,10635,1326.22,1
388,Niemcy,Peacock,2004-08-26,10636,629.5,1
389,Polska,Sowiński,2004-08-26,10637,2761.94,1
390,Niemcy,Leverling,2004-09-01,10638,2720.05,1
391,Polska,King,2004-08-27,10639,500.0,1
392,Niemcy,Peacock,2004-08-28,10640,708.75,1
393,Niemcy,Peacock,2004-08-26,10641,2054.0,1
394,Polska,King,2004-09-05,10642,696.0,1
395,Polska,Sowiński,2004-09-02,10643,814.5,1
396,Niemcy,Leverling,2004-09-01,10644,1371.8,1
397,Niemcy,Peacock,2004-09-02,10645,1535.0,1
398,Polska,Dudek,2004-09-03,10646,1446.0,1
399,Niemcy,Peacock,2004-09-03,10647,636.0,1
400,Polska,Kowalski,2004-09-09,10648,372.37,1
401,Polska,Kowalski,2004-08-29,10649,1434.0,1
402,Polska,Kowalski,2004-09-03,10650,1779.2,1
403,Niemcy,Callahan,2004-09-11,10651,397.8,1
404,Niemcy,Peacock,2004-09-08,10652,318.84,1
405,Niemcy,Davolio,2004-09-19,10653,1083.15,1
406,Polska,Kowalski,2004-09-11,10654,601.83,1
407,Niemcy,Davolio,2004-09-11,10655,154.4,1
408,Polska,Sowiński,2004-09-10,10656,604.21,1
409,Niemcy,Fuller,2004-09-15,10657,4371.6,1
410,Niemcy,Peacock,2004-09-08,10658,4464.6,1
411,Polska,King,2004-09-10,10659,1227.02,1
412,Niemcy,Callahan,2004-10-15,10660,1701.0,1
413,Polska,King,2004-09-15,10661,562.6,1
414,Niemcy,Leverling,2004-09-18,10662,125.0,1
415,Niemcy,Fuller,2004-10-03,10663,1930.4,1
416,Niemcy,Davolio,2004-09-19,10664,1288.39,1
417,Niemcy,Davolio,2004-09-17,10665,1295.0,1
418,Polska,King,2004-09-22,10666,4666.94,1
419,Polska,King,2004-09-19,10667,1536.8,1
420,Niemcy,Davolio,2004-09-23,10668,625.27,1
421,Niemcy,Fuller,2004-09-22,10669,570.0,1
422,Niemcy,Peacock,2004-09-18,10670,2301.75,1
423,Niemcy,Davolio,2004-09-24,10671,920.1,1
424,Polska,Dudek,2004-09-26,10672,3815.25,1
425,Niemcy,Fuller,2004-09-19,10673,412.35,1
426,Niemcy,Peacock,2004-09-30,10674,45.0,1
427,Polska,Kowalski,2004-09-23,10675,1423.0,1
428,Niemcy,Fuller,2004-09-29,10676,534.85,1
429,Niemcy,Davolio,2004-09-26,10677,813.36,1
430,Polska,King,2004-10-16,10678,5256.5,1
431,Niemcy,Callahan,2004-09-30,10679,660.0,1
432,Niemcy,Davolio,2004-09-26,10680,1261.88,1
433,Niemcy,Leverling,2004-09-30,10681,1287.4,1
434,Niemcy,Leverling,2004-10-01,10682,375.5,1
435,Niemcy,Fuller,2004-10-01,10683,63.0,1
436,Niemcy,Leverling,2004-09-30,10684,1768.0,1
437,Niemcy,Peacock,2004-10-03,10685,801.1,1
438,Niemcy,Fuller,2004-10-08,10686,1404.45,1
439,Polska,Dudek,2004-10-30,10687,4960.9,1
440,Niemcy,Peacock,2004-10-07,10688,3160.6,1
441,Niemcy,Davolio,2004-10-07,10689,472.5,1
442,Niemcy,Davolio,2004-10-03,10690,862.5,1
443,Niemcy,Fuller,2004-10-22,10691,10164.8,1
444,Niemcy,Peacock,2004-10-13,10692,878.0,1
445,Niemcy,Leverling,2004-10-10,10693,2071.2,1
446,Niemcy,Callahan,2004-10-09,10694,4825.0,1
447,Polska,King,2004-10-14,10695,642.0,1
448,Niemcy,Callahan,2004-10-14,10696,996.0,1
449,Niemcy,Leverling,2004-10-14,10697,805.43,1
450,Niemcy,Peacock,2004-10-17,10698,3436.45,1
451,Niemcy,Leverling,2004-10-13,10699,114.0,1
452,Niemcy,Leverling,2004-10-16,10700,1638.4,1
453,Polska,Sowiński,2004-10-15,10701,2864.5,1
454,Niemcy,Peacock,2004-10-21,10702,330.0,1
455,Polska,Sowiński,2004-10-20,10703,2545.0,1
456,Polska,Sowiński,2004-11-07,10704,595.5,1
457,Polska,Dudek,2004-11-18,10705,378.0,1
458,Niemcy,Callahan,2004-10-21,10706,1893.0,1
459,Niemcy,Peacock,2004-10-23,10707,1641.0,1
460,Polska,Sowiński,2004-11-05,10708,180.4,1
461,Niemcy,Davolio,2004-11-20,10709,3424.0,1
462,Niemcy,Davolio,2004-10-23,10710,93.5,1
463,Polska,Kowalski,2004-10-29,10711,4451.7,1
464,Niemcy,Leverling,2004-10-31,10712,1233.48,1
465,Niemcy,Davolio,2004-10-24,10713,2827.9,1
466,Polska,Kowalski,2004-10-27,10714,2205.75,1
467,Niemcy,Leverling,2004-10-29,10715,1296.0,1
468,Niemcy,Peacock,2004-10-27,10716,706.0,1
469,Niemcy,Davolio,2004-10-29,10717,1270.75,1
470,Niemcy,Davolio,2004-10-29,10718,3463.0,1
471,Niemcy,Callahan,2004-11-05,10719,844.25,1
472,Niemcy,Callahan,2004-11-05,10720,550.0,1
473,Polska,Kowalski,2004-10-31,10721,923.87,1
474,Niemcy,Callahan,2004-11-04,10722,1570.0,1
475,Niemcy,Leverling,2004-11-25,10723,468.45,1
476,Niemcy,Callahan,2004-11-05,10724,638.5,1
477,Niemcy,Peacock,2004-11-05,10725,287.8,1
478,Niemcy,Peacock,2004-12-05,10726,655.0,1
479,Niemcy,Fuller,2004-12-05,10727,1624.5,1
480,Niemcy,Peacock,2004-11-11,10728,1296.75,1
481,Niemcy,Callahan,2004-11-14,10729,1850.0,1
482,Polska,Kowalski,2004-11-14,10730,484.25,1
483,Polska,King,2004-11-14,10731,1890.5,1
484,Niemcy,Leverling,2004-11-07,10732,360.0,1
485,Niemcy,Davolio,2004-11-10,10733,1459.0,1
486,Niemcy,Fuller,2004-11-12,10734,1498.35,1
487,Polska,Sowiński,2004-11-21,10735,536.4,1
488,Polska,Dudek,2004-11-21,10736,997.0,1
489,Niemcy,Fuller,2004-11-18,10737,139.8,1
490,Niemcy,Fuller,2004-11-18,10738,52.35,1
491,Niemcy,Leverling,2004-11-17,10739,240.0,1
492,Niemcy,Peacock,2004-11-25,10740,1416.0,1
493,Niemcy,Peacock,2004-11-18,10741,228.0,1
494,Niemcy,Leverling,2004-11-18,10742,3118.0,1
495,Niemcy,Davolio,2004-11-21,10743,319.2,1
496,Polska,Sowiński,2004-11-24,10744,736.0,1
497,Polska,Dudek,2004-11-27,10745,4529.8,1
498,Niemcy,Davolio,2004-11-21,10746,2311.7,1
499,Polska,Sowiński,2004-11-26,10747,1912.85,1
500,Niemcy,Leverling,2004-11-28,10748,2196.0,1
501,Niemcy,Peacock,2004-12-19,10749,1080.0,1
502,Polska,Dudek,2004-11-24,10750,1590.56,1
503,Niemcy,Leverling,2004-12-03,10751,1631.48,1
504,Niemcy,Fuller,2004-11-28,10752,252.0,1
505,Niemcy,Leverling,2004-11-27,10753,88.0,1
506,Polska,Sowiński,2004-11-27,10754,55.2,1
507,Niemcy,Peacock,2004-11-28,10755,1948.5,1
508,Niemcy,Callahan,2004-12-02,10756,1990.0,1
509,Polska,Sowiński,2004-12-15,10757,3082.0,1
510,Niemcy,Leverling,2004-12-04,10758,1644.6,1
511,Niemcy,Leverling,2004-12-12,10759,320.0,1
512,Niemcy,Peacock,2004-12-10,10760,2917.0,1
513,Polska,Kowalski,2004-12-08,10761,507.0,1
514,Niemcy,Leverling,2004-12-09,10762,4337.0,1
515,Niemcy,Leverling,2004-12-08,10763,616.0,1
516,Polska,Sowiński,2004-12-08,10764,2286.0,1
517,Niemcy,Leverling,2004-12-09,10765,1515.6,1
518,Niemcy,Peacock,2004-12-09,10766,2310.0,1
519,Niemcy,Peacock,2004-12-15,10767,28.0,1
520,Niemcy,Leverling,2004-12-15,10768,1477.0,1
521,Niemcy,Leverling,2004-12-12,10769,1684.27,1
522,Niemcy,Callahan,2004-12-17,10770,236.25,1
523,Polska,Dudek,2004-01-02,10771,344.0,1
524,Niemcy,Leverling,2004-12-19,10772,3603.22,1
525,Niemcy,Davolio,2004-12-16,10773,2030.4,1
526,Niemcy,Peacock,2004-12-12,10774,868.75,1
527,Polska,King,2004-12-26,10775,228.0,1
528,Niemcy,Davolio,2004-12-18,10776,6635.27,1
530,Niemcy,Leverling,2004-12-24,10778,96.5,1
532,Niemcy,Fuller,2004-12-25,10780,720.0,1
533,Niemcy,Fuller,2004-12-19,10781,975.88,1
534,Polska,Dudek,2004-12-22,10782,12.5,1
535,Niemcy,Peacock,2004-12-19,10783,1442.5,1
536,Niemcy,Peacock,2004-12-22,10784,1488.0,1
537,Niemcy,Davolio,2004-12-24,10785,387.5,1
538,Niemcy,Callahan,2004-12-23,10786,1531.08,1
539,Niemcy,Fuller,2004-12-26,10787,2622.76,1
541,Niemcy,Davolio,2004-12-31,10789,3687.0,1
542,Polska,Sowiński,2004-12-26,10790,722.5,1
544,Niemcy,Davolio,2004-12-31,10792,399.85,1
553,Niemcy,Peacock,2004-12-31,10801,3026.85,1
